g0_m,g1_m,g2_m,g3_m,g4_m,g5_m,g6_m,g7_m,g8_m,g0_s,g1_s,g2_s,g3_s,g4_s,g5_s,g6_s,g7_s,g8_s,label
8,4,3,4,4,5,4,4,3,0,0,0,2,2,1,2,1,2,2
8,6,3,4,4,6,2,5,4,0,0,0,2,2,1,2,1,2,2
3,3,2,4,4,5,4,4,3,0,0,0,2,2,2,2,1,2,2
6,4,2,4,4,5,3,4,4,0,0,0,2,2,2,2,1,2,2
13,6,2,5,3,5,3,5,3,0,0,0,2,2,2,2,1,2,2
5,6,3,4,4,5,3,5,3,0,0,0,2,2,1,2,1,2,2
7,9,2,4,4,5,4,5,3,0,0,0,2,2,2,2,1,2,2
6,4,2,4,5,4,3,5,3,0,0,0,2,2,2,2,1,2,2
9,2,2,4,4,5,4,4,3,0,0,0,2,2,2,2,1,2,2
9,6,3,5,5,5,3,4,3,0,0,0,2,2,2,2,1,2,2
6,4,2,4,4,5,3,4,3,0,0,0,2,2,2,2,1,2,2
7,5,2,4,5,5,4,4,4,0,0,0,2,2,2,2,1,2,2
8,6,3,4,4,5,4,4,4,0,0,0,2,2,2,2,1,2,2
4,6,2,4,4,5,3,4,3,0,0,0,2,2,2,2,1,2,2
11,9,2,5,4,5,3,4,4,0,0,0,2,2,2,2,2,2,2
5,5,1,4,4,5,4,4,3,0,0,0,2,2,2,2,1,2,2
7,6,2,4,4,5,3,4,3,0,0,0,2,2,2,2,1,2,2
6,6,3,3,4,5,3,5,3,0,0,0,2,2,2,2,1,2,2
4,7,2,4,4,5,3,5,3,0,0,0,2,2,2,2,1,2,2
5,8,3,4,4,6,3,4,4,0,0,0,2,2,2,2,2,2,2
6,7,2,3,3,6,3,5,3,0,0,0,2,2,2,2,1,2,2
7,3,3,4,4,5,3,4,4,0,0,0,2,1,2,2,2,2,2
6,7,2,4,4,5,3,4,4,0,0,0,2,1,2,2,1,2,2
5,7,2,4,4,5,4,4,3,0,0,0,2,1,2,2,1,2,2
3,2,2,4,4,5,3,5,3,0,0,0,2,1,2,2,1,2,2
7,3,2,4,4,5,4,4,4,0,0,0,2,1,2,2,2,2,2
8,9,3,5,5,5,3,5,3,0,0,0,2,1,2,2,2,2,2
7,6,2,4,4,6,3,5,3,0,0,0,2,1,1,2,2,2,2
6,4,2,4,4,5,4,4,4,0,0,0,2,1,1,2,2,2,2
10,6,2,4,4,5,3,5,3,0,0,0,2,1,2,2,2,2,2
8,6,2,4,4,5,3,5,3,0,0,0,2,1,1,2,2,2,2
4,4,3,4,4,5,3,5,3,0,0,0,2,1,1,2,1,2,2
3,4,3,4,5,5,3,5,3,0,0,0,2,1,1,2,1,2,2
10,10,2,4,4,5,3,5,3,0,0,0,2,1,1,2,1,2,2
7,3,2,4,4,5,3,4,4,0,0,0,2,1,1,2,2,2,2
10,3,3,4,4,6,3,5,3,0,0,0,2,1,1,2,2,2,2
11,8,3,4,4,6,3,5,3,0,0,0,2,2,1,2,2,2,2
5,7,3,4,4,5,3,4,3,0,0,0,2,2,1,2,2,2,2
12,10,3,4,5,5,3,5,3,0,0,0,2,2,1,2,2,2,2
12,7,3,4,4,5,3,5,4,0,0,0,2,2,2,2,2,2,2
19,12,2,4,4,5,3,4,4,0,0,0,2,2,2,2,2,2,2
13,11,2,4,4,4,3,5,3,0,0,0,2,2,2,2,2,2,2
13,3,2,4,5,5,4,4,4,0,0,0,2,2,2,2,2,2,2
4,5,3,4,4,5,3,5,3,0,0,0,2,2,2,2,2,2,2
12,9,3,4,4,5,3,5,3,0,0,0,2,2,2,2,2,2,2
10,9,2,4,4,5,4,5,3,0,0,0,2,2,2,2,2,2,2
3,7,3,4,5,5,4,4,3,0,0,0,2,2,2,1,2,2,2
7,10,3,3,4,5,3,4,4,0,0,0,2,2,2,1,2,2,2
6,3,3,4,5,5,3,5,3,0,0,0,2,2,2,1,2,2,2
9,2,2,4,4,5,3,5,3,0,0,0,2,2,2,1,2,2,2
6,6,2,4,4,6,3,4,4,0,0,0,2,2,2,2,2,2,2
13,6,3,4,4,5,3,5,4,0,0,0,2,2,2,2,2,2,2
7,5,2,4,4,5,3,5,3,0,0,0,2,2,2,2,2,2,2
8,7,2,4,4,5,3,5,3,0,0,0,2,2,2,2,2,2,2
8,5,3,3,4,5,4,4,3,0,0,0,2,2,2,2,2,2,2
5,6,3,3,4,5,3,5,3,0,0,0,2,2,2,2,1,2,2
4,3,3,4,5,5,3,5,3,0,0,0,2,2,2,2,1,2,2
